;type_of_equipment;type_of_station;station;country;year_of_manufacture;power;number_of_turbines;sum_power
635;Паровые турбины;ТЭЦ;Ленэнерго Северная ТЭЦ;Россия;1991;180.0;1.0;180.0
637;Гидравлические турбины;ГЭС;Камбаратинская ГЭС;Киргизия;1991;123.0;1.0;123.0
638;Паровые турбины;ТЭЦ;Владимирская ТЭЦ;Россия;1991;80.0;2.0;160.0
639;Паровые турбины;ТЭЦ;Йошкар-Ола ТЭЦ-2;Россия;1991;80.0;1.0;80.0
640;Паровые турбины;ТЭЦ;Дзержинск ТЭЦ;Россия;1991;80.0;1.0;80.0
641;Паровые турбины;ТЭЦ;Тольятти ТЭЦ-1;Россия;1991;80.0;1.0;80.0
642;Паровые турбины;ТЭЦ;Петропавловск ТЭЦ-2;Россия;1991;65.0;1.0;65.0
643;Паровые турбины;ТЭЦ;Новокуйбышевская ТЭЦ-2;Россия;1991;65.0;1.0;65.0
644;Паровые турбины;ТЭЦ;Саратовская ТЭЦ-2;Россия;1991;65.0;1.0;65.0
645;Паровые турбины;ТЭЦ;Саратовская ТЭЦ-2;Россия;1991;65.0;1.0;65.0
646;Паровые турбины;ТЭЦ;Иркутская ТЭЦ-11;Россия;1991;65.0;1.0;65.0
647;Паровые турбины;ТЭЦ;Ярославская ТЭЦ-3;Россия;1991;65.0;1.0;65.0
648;Паровые турбины;ТЭЦ;Новополоцкая ТЭЦ;Россия;1991;65.0;1.0;65.0
649;Паровые турбины;ТЭЦ;Омская ТЭЦ-3;Россия;1991;65.0;1.0;65.0
650;Паровые турбины;ГРЭС;Карагандинская ГРЭС-1;Казахстан;1991;50.0;2.0;100.0
651;Паровые турбины;ТЭЦ;Казанская ТЭЦ-2;Россия;1991;50.0;1.0;50.0
652;Паровые турбины;ГРЭС;Томская ГРЭС-2;Россия;1991;50.0;1.0;50.0
653;Паровые турбины;ТЭЦ;Игумновская ТЭЦ;Россия;1991;25.0;1.0;25.0
654;Гидравлические турбины;ГЭС;Риони ГЭС;Грузия;1991;13.7;2.0;27.4
655;Гидравлические турбины;ГЭС;Памирская ГЭС;Таджикистан;1991;7.25;4.0;29.0
659;Паровые турбины;ГРЭС;Талимарджанская ГРЭС;Узбекистан;1990;800.0;1.0;800.0
664;Паровые турбины;ГРЭС;Тбилиская ГРЭС;Грузия;1990;300.0;3.0;900.0
666;Паровые турбины;ТЭС;Цзанцзе ТЭС;Китай;1990;215.0;4.0;860.0
668;Паровые турбины;ТЭС;Шуаньяшань ТЭС;Китай;1990;215.0;2.0;430.0
671;Паровые турбины;ТЭС;Мултан ТЭС;Пакистан;1990;210.0;3.0;630.0
672;Паровые турбины;ГРЭС;Южно-Уральская ГРЭС;Россия;1990;200.0;2.0;400.0
674;Паровые турбины;ТЭЦ;Мосэнерго ТЭЦ-9;Россия;1990;80.0;1.0;80.0
675;Паровые турбины;ТЭЦ;Рига ТЭЦ-1;Латвия;1990;65.0;1.0;65.0
676;Паровые турбины;ТЭЦ;Курганская ТЭЦ;Россия;1990;65.0;1.0;65.0
677;Паровые турбины;ТЭЦ;Тольяттинская ТЭЦ;Россия;1990;65.0;1.0;65.0
678;Паровые турбины;ГРЭС;Светлогорская ГРЭС;Беларусь;1990;65.0;1.0;65.0
679;Паровые турбины;ТЭЦ;Мосэнерго ТЭЦ-22;Россия;1990;60.0;6.0;360.0
680;Паровые турбины;ТЭЦ;Ереван ТЭЦ;Армения;1990;50.0;1.0;50.0
681;Паровые турбины;ТЭЦ;Сумгаит ТЭЦ-1;Азербайджан;1990;50.0;1.0;50.0
682;Паровые турбины;ТЭЦ;Салаватская ТЭЦ;Россия;1990;25.0;1.0;25.0
683;Паровые турбины;ТЭЦ;Кумертау ТЭЦ;Россия;1990;25.0;1.0;25.0
684;Паровые турбины;ТЭЦ;Иркутская ТЭЦ;Россия;1990;25.0;1.0;25.0
685;Паровые турбины;ТЭЦ;Уруссинская ТЭЦ;Россия;1990;25.0;1.0;25.0
687;Гидравлические турбины;ГЭС;Лонг Фоллс ГЭС;США;1990;3.28;1.0;3.28
688;Гидравлические турбины;ГЭС;Богнари ГЭС;Россия;1990;0.88;2.0;1.76
689;Паровые турбины;АЭС;Южно-Украинская АЭС, блок №3;Украина;1989;1001.0;1.0;1001.0
692;Паровые турбины;ГРЭС;Сургутская ГРЭС - 2;Россия;1989;800.0;7.0;5600.0
695;Паровые турбины;ТЭЦ;Жижель ТЭЦ;Алжир;1989;215.0;3.0;645.0
698;Паровые турбины;ТЭС;Муданцзян ТЭС;Китай;1989;215.0;2.0;430.0
699;Паровые турбины;ТЭС;Хуандао ТЭС;Китай;1989;215.0;2.0;430.0
700;Паровые турбины;ГРЭС;Тахиаташская ГРЭС;Узбекистан;1989;215.0;2.0;430.0
701;Паровые турбины;ТЭЦ;Тюменская ТЭЦ;Россия;1989;215.0;1.0;215.0
702;Паровые турбины;ТЭС;Марица-Восток ТЭС;Болгария;1989;210.0;6.0;1260.0
704;Паровые турбины;ТЭЦ;Норильская ТЭЦ-1;Россия;1989;110.0;2.0;220.0
705;Паровые турбины;ГРЭС;Южно-Уральская ГРЭС;Россия;1989;100.0;1.0;100.0
706;Паровые турбины;ТЭС;Улан-Батор ТЭС;Монголия;1989;80.0;3.0;240.0
707;Паровые турбины;;Ивановская -3;Россия;1989;80.0;2.0;160.0
708;Паровые турбины;ТЭЦ;Стерлитамак ТЭЦ;Россия;1989;65.0;2.0;130.0
709;Паровые турбины;ТЭЦ;Ленэнерго ТЭЦ-14;Россия;1989;65.0;1.0;65.0
710;Паровые турбины;ТЭЦ;Тольяттинская ТЭЦ;Россия;1989;65.0;1.0;65.0
711;Паровые турбины;ТЭЦ;Уфимская ТЭЦ-4;Россия;1989;65.0;1.0;65.0
712;Паровые турбины;ТЭЦ;Тольяттинская ТЭЦ-1;Россия;1989;50.0;2.0;100.0
713;Паровые турбины;ТЭЦ;Мосэнерго ТЭЦ-16;Россия;1989;25.0;1.0;25.0
714;Паровые турбины;ТЭЦ;Красноярская ТЭЦ-1;Россия;1989;25.0;1.0;25.0
715;Паровые турбины;ГРЭС;Уруссинская ГРЭС;Россия;1989;25.0;1.0;25.0
716;Гидравлические турбины;ГЭС;Нижне-Туломская ГЭС;Россия;1989;14.3;4.0;57.2
721;Паровые турбины;ТЭС;Лудуш ТЭС;Румыния;1988;215.0;2.0;430.0
722;Паровые турбины;ГРЭС;Новомосковская ГРЭС;Россия;1988;100.0;1.0;100.0
723;Паровые турбины;ГРЭС;Серовская ГРЭС;Россия;1988;100.0;1.0;100.0
724;Паровые турбины;ТЭЦ;Ново-Зиминская ТЭЦ;Россия;1988;80.0;4.0;320.0
725;Паровые турбины;ТЭЦ;Ульяновская ТЭЦ-2;Россия;1988;80.0;2.0;160.0
726;Паровые турбины;ТЭЦ;Мосэнерго ТЭЦ-11;Россия;1988;80.0;1.0;80.0
727;Паровые турбины;ТЭЦ;Краснокаменская ТЭЦ;Россия;1988;80.0;1.0;80.0
728;Паровые турбины;ТЭЦ;Пермская ТЭЦ-9;Россия;1988;65.0;1.0;65.0
729;Паровые турбины;ТЭЦ;Павлодарская ТЭЦ-1;Казахстан;1988;65.0;1.0;65.0
730;Паровые турбины;ТЭЦ;Ярославская ТЭЦ;Россия;1988;65.0;1.0;65.0
731;Паровые турбины;ТЭЦ;Алексинская ТЭЦ;Россия;1988;50.0;2.0;100.0
732;Паровые турбины;ТЭЦ;Новокуйбышевская ТЭЦ-1;Россия;1988;25.0;1.0;25.0
733;Паровые турбины;ТЭЦ;Грозэнерго ТЭЦ-2;Россия;1988;25.0;1.0;25.0
734;Паровые турбины;ТЭЦ;Мосэнерго ТЭЦ-20;Россия;1988;25.0;1.0;25.0
735;Паровые турбины;ТЭЦ;Ленэнерго ТЭЦ-2;Россия;1988;25.0;1.0;25.0
736;Гидравлические турбины;ГЭС;Бурджарская ГЭС;Узбекистан;1988;4.0;2.0;8.0
740;Паровые турбины;АЭС;Калининская АЭС, блок №3;Россия;1987;1000.0;1.0;1000.0
741;Паровые турбины;АЭС;Хмельницкая АЭС, блок №1;Украина;1987;1000.0;1.0;1000.0
747;Паровые турбины;ТЭС;Виндьячал ТЭС;Индия;1987;210.0;6.0;1260.0
748;Паровые турбины;ГРЭС;Приморская ГРЭС;Россия;1987;210.0;5.0;1050.0
749;Паровые турбины;ГРЭС;Марыйская ГРЭС;Туркменистан;1987;210.0;5.0;1050.0
750;Паровые турбины;ГРЭС;Верхне-Тагильская ГРЭС;Россия;1987;200.0;1.0;200.0
751;Паровые турбины;ТЭЦ;Комсомольская ТЭЦ-3;Россия;1987;180.0;2.0;360.0
753;Паровые турбины;ГРЭС;Южнокузбасская ГРЭС;Россия;1987;100.0;1.0;100.0
754;Паровые турбины;ТЭЦ;Новосибирск ТЭЦ-2;Россия;1987;80.0;2.0;160.0
755;Паровые турбины;ТЭЦ;Мосэнерго ТЭЦ-12;Россия;1987;80.0;2.0;160.0
756;Паровые турбины;ТЭЦ;Волжская ТЭЦ - 2;Россия;1987;80.0;1.0;80.0
757;Гидравлические турбины;ГЭС;Мингечаурская ГЭС;Азербайджан;1987;71.5;6.0;429.0
758;Паровые турбины;ТЭЦ;Сумгаит ТЭЦ-1;Азербайджан;1987;65.0;1.0;65.0
759;Паровые турбины;ТЭЦ;Ново-Полоцк ТЭЦ;Беларусь;1987;65.0;1.0;65.0
760;Паровые турбины;ТЭЦ;Мосэнерго ТЭЦ-20;Россия;1987;60.0;2.0;120.0
762;Паровые турбины;ТЭЦ;Ленэнерго ТЭЦ-2;Россия;1987;25.0;1.0;25.0
763;Паровые турбины;ТЭЦ;Мосэнерго ТЭЦ-16;Россия;1987;25.0;1.0;25.0
764;Паровые турбины;ТЭЦ;Мосэнерго ТЭЦ-20;Россия;1987;25.0;1.0;25.0
765;Паровые турбины;ТЭЦ;Воронежская ТЭЦ;Россия;1987;25.0;1.0;25.0
766;Паровые турбины;ТЭЦ;Рижская ТЭЦ-1;Латвия;1987;25.0;1.0;25.0
767;Гидравлические турбины;ГЭС;Земо-Авчальская ГЭС;Грузия;1987;15.0;1.0;15.0
773;Паровые турбины;ТЭС;Еншвальде ТЭС;Германия;1986;500.0;6.0;3000.0
776;Паровые турбины;ТЭС;Углевик ТЭС;Босния и Герцеговина;1986;300.0;2.0;600.0
777;Паровые турбины;;Рязанская МГДЭС;Россия;1986;300.0;1.0;300.0
779;Гидравлические турбины;ГЭС;Хоа-Бинь ГЭС;Вьетнам;1986;245.0;8.0;1960.0
780;Паровые турбины;ТЭЦ;Тюменская ТЭЦ-2;Россия;1986;180.0;3.0;540.0
781;Гидравлические турбины;ГЭС;Ташлыкская ГЭС;Украина;1986;179.16;6.0;1074.96
785;Гидравлические турбины;ГЭС;Чиан ГЭС;Вьетнам;1986;102.0;4.0;408.0
786;Паровые турбины;ТЭЦ;Камчатская ТЭЦ-2;Россия;1986;80.0;2.0;160.0
787;Паровые турбины;;Башкирский КХЗ;Россия;1986;80.0;1.0;80.0
788;Паровые турбины;ТЭЦ;Дзержинская ТЭЦ;Россия;1986;65.0;1.0;65.0
789;Паровые турбины;ТЭЦ;Безымянская ТЭЦ;Россия;1986;50.0;1.0;50.0
790;Паровые турбины;ГРЭС;Южнокузбасская ГРЭС;Россия;1986;50.0;1.0;50.0
791;Паровые турбины;ТЭЦ;Иркутск ТЭЦ-9;Россия;1986;50.0;1.0;50.0
792;Гидравлические турбины;ГЭС;Храм-1 ГЭС;Грузия;1986;38.1;3.0;114.30000000000001
798;Гидравлические турбины;ГЭС;Круонисская ГЭС;Литва;1985;205.0;5.0;1025.0
799;Паровые турбины;ГРЭС;Нерюнгринская ГРЭС;Россия;1985;180.0;2.0;360.0
800;Паровые турбины;ТЭЦ;Вильнюс ТЭЦ-3;Литва;1985;180.0;2.0;360.0
806;Паровые турбины;ТЭС;Фалай ТЭС;Вьетнам;1985;110.0;4.0;440.0
807;Паровые турбины;;Череповецкий МК;Россия;1985;80.0;2.0;160.0
808;Паровые турбины;ТЭЦ;Астрахань ТЭЦ-2;Россия;1985;80.0;2.0;160.0
809;Паровые турбины;ТЭЦ;Ленэнерго ТЭЦ-20;Россия;1985;80.0;1.0;80.0
810;Паровые турбины;ТЭС;Иоенсу ТЭС;Финляндия;1985;60.0;1.0;60.0
811;Паровые турбины;ТЭС;Николаевская-на Амуре ТЭС;Россия;1985;55.0;2.0;110.0
812;Паровые турбины;ТЭЦ;ТЭЦ Мубарекскского газоперерабат. завода;Узбекистан;1985;50.0;2.0;100.0
813;Паровые турбины;ТЭЦ;Алма-Атинская ТЭЦ-2;Казахстан;1985;50.0;1.0;50.0
817;Паровые турбины;ТЭС;Аминдеон ТЭС;Греция;1984;310.0;2.0;620.0
821;Паровые турбины;ТЭС;Битола ТЭС;Македония;1984;210.0;3.0;630.0
822;Паровые турбины;ТЭЦ;Красноводская ТЭЦ-2;Туркменистан;1984;210.0;2.0;420.0
824;Паровые турбины;ТЭС;Орханели ТЭС;Турция;1984;210.0;1.0;210.0
825;Гидравлические турбины;ГЭС;Загорская ГЭС;Россия;1984;205.0;6.0;1230.0
829;Паровые турбины;ТЭЦ;Амурская ТЭЦ-1;Россия;1984;80.0;2.0;160.0
830;Паровые турбины;ТЭЦ;Мосэнерго ТЭЦ-12;Россия;1984;60.0;2.0;120.0
831;Паровые турбины;ТЭЦ;Мосэнерго ТЭЦ-9;Россия;1984;60.0;2.0;120.0
832;Паровые турбины;ТЭЦ;Ивановская ТЭЦ-2;Россия;1984;50.0;1.0;50.0
833;Гидравлические турбины;ГЭС;Земо-Авчальская ГЭС;Грузия;1984;15.0;1.0;15.0
835;Паровые турбины;ГРЭС;Экибастузская-1 ГРЭС;Казахстан;1983;500.0;2.0;1000.0
836;Паровые турбины;ТЭС;Агиос-Димитриос ТЭС;Греция;1983;310.0;2.0;620.0
838;Паровые турбины;ГРЭС;Сургут ГРЭС-1;Россия;1983;210.0;9.0;1890.0
839;Паровые турбины;ГРЭС;Смоленская ГРЭС;Россия;1983;210.0;3.0;630.0
845;Паровые турбины;ГРЭС;Каширская ГРЭС;Россия;1983;80.0;1.0;80.0
846;Паровые турбины;ТЭЦ;Норильская-ТЭЦ-3;Россия;1983;80.0;1.0;80.0
847;Паровые турбины;ТЭЦ;Балаковская ТЭЦ-4;Россия;1983;50.0;1.0;50.0
848;Гидравлические турбины;ГЭС;Джердап-II ГЭС;Сербия;1983;28.0;8.0;224.0
853;Паровые турбины;ГРЭС;Сырдарьинская ГРЭС;Узбекистан;1982;300.0;5.0;1500.0
856;Паровые турбины;ГРЭС;Нерюнгринская ГРЭС;Россия;1982;210.0;1.0;210.0
857;Паровые турбины;ГРЭС;Сургутская ГРЭС- 2;Россия;1982;180.0;2.0;360.0
859;Паровые турбины;ГРЭС;Нижегородская ГРЭС;Россия;1982;80.0;1.0;80.0
860;Паровые турбины;ТЭЦ;Кировская ТЭЦ - 5;Россия;1982;80.0;1.0;80.0
861;Паровые турбины;ГРЭС;Шатурская ГРЭС;Россия;1982;80.0;1.0;80.0
862;Паровые турбины;ТЭЦ;Павлодарская ТЭЦ-1;Казахстан;1982;80.0;1.0;80.0
864;Паровые турбины;ТЭЦ;Мажейкская ТЭЦ;Литва;1982;50.0;1.0;50.0
866;Гидравлические турбины;ГЭС;Спандарянская ГЭС;Армения;1982;39.2;2.0;78.4
868;Гидравлические турбины;ГЭС;Железные Ворота-II ГЭС;Румыния;1982;28.0;2.0;56.0
869;Паровые турбины;ГРЭС;Ириклинская ГРЭС;Россия;1981;300.0;3.0;900.0
879;Паровые турбины;ТЭЦ;Целиноградская ТЭЦ - 2;Казахстан;1981;80.0;3.0;240.0
880;Паровые турбины;ТЭЦ;Мосэнерго Южная ТЭЦ;Россия;1981;80.0;2.0;160.0
882;Паровые турбины;ТЭЦ;Мосэнерго ТЭЦ-9;Россия;1981;50.0;1.0;50.0
883;Паровые турбины;ТЭЦ;Сызранская ТЭЦ;Россия;1981;50.0;1.0;50.0
885;Гидравлические турбины;ГЭС;Тюямуюнская ГЭС;Таджикистан;1981;26.0;6.0;156.0
886;Гидравлические турбины;ГЭС;Цимлянская ГЭС;Россия;1981;26.0;6.0;156.0
887;Паровые турбины;ГРЭС;Рязанская ГРЭС;Россия;1980;800.0;2.0;1600.0
890;Паровые турбины;ТЭС;Байя Бланка (Пьедра Буэна) ТЭС;Аргентина;1980;300.0;2.0;600.0
893;Гидравлические турбины;ГЭС;Колымская ГЭС;Россия;1980;184.0;5.0;920.0
896;Паровые турбины;ГРЭС;Партизанская ГРЭС;Россия;1980;110.0;1.0;110.0
897;Гидравлические турбины;ГЭС;Чебоксарская ГЭС;Россия;1980;80.5;5.0;402.5
898;Паровые турбины;ТЭЦ;Алма-Ата ТЭЦ -2;Казахстан;1980;80.0;3.0;240.0
899;Паровые турбины;ТЭЦ;Владивосток ТЭЦ - 2;Россия;1980;80.0;2.0;160.0
900;Паровые турбины;ТЭЦ;Мажейкская ТЭЦ;Литва;1980;80.0;2.0;160.0
901;Паровые турбины;ТЭЦ;Кишинев ТЭЦ-2;Молдавия;1980;80.0;2.0;160.0
902;Паровые турбины;ТЭЦ;Омская ТЭЦ - 5;Россия;1980;80.0;2.0;160.0
903;Паровые турбины;ТЭЦ;Липецкая ТЭЦ - 2;Россия;1980;80.0;2.0;160.0
904;Паровые турбины;ТЭЦ;Котовская ТЭЦ -2;Россия;1980;80.0;1.0;80.0
905;Паровые турбины;ТЭЦ;Минусинская ТЭЦ;Россия;1980;80.0;1.0;80.0
908;Паровые турбины;ТЭС;Аджаокуте ТЭС;Нигерия;1980;60.0;1.0;60.0
909;Паровые турбины;ТЭС;Искандерун ТЭС;Турция;1980;55.0;2.0;110.0
910;Паровые турбины;ТЭЦ;Камчатская ТЭЦ-1;Россия;1980;55.0;1.0;55.0
911;Паровые турбины;ТЭС;Аджаокуте ТЭС;Нигерия;1980;55.0;1.0;55.0
912;Гидравлические турбины;ГЭС;Иовская ГЭС;Россия;1980;50.0;2.0;100.0
913;Паровые турбины;ТЭЦ;ТЭЦ Пермского ЗСК;Россия;1980;50.0;1.0;50.0
917;Паровые турбины;ТЭС;Кардия ТЭС;Греция;1979;300.0;2.0;600.0
920;Паровые турбины;АЭС;Белоярская АЭС, блок №3;Россия;1979;210.0;3.0;630.0
921;Паровые турбины;ГРЭС;Навоийская ГРЭС;Узбекистан;1979;210.0;2.0;420.0
922;Паровые турбины;ГРЭС;Молдавская ГРЭС;Молдавия;1979;200.0;2.0;400.0
928;Паровые турбины;ГРЭС;Ткварчельская ГРЭС;Грузия;1979;110.0;2.0;220.0
930;Паровые турбины;ТЭЦ;Чимкент ТЭЦ;Казахстан;1979;80.0;2.0;160.0
931;Паровые турбины;ТЭЦ;Таллинн ТЭЦ-2;Эстония;1979;80.0;1.0;80.0
932;Паровые турбины;ТЭЦ;Чебоксарская ТЭЦ - 2;Россия;1979;80.0;1.0;80.0
933;Паровые турбины;ТЭЦ;Шевченко ТЭЦ;Казахстан;1979;80.0;1.0;80.0
934;Паровые турбины;ТЭС;ТЭС Сыктывкарского ЛПК;Россия;1979;80.0;1.0;80.0
935;Паровые турбины;ТЭЦ;ТЭЦ Пермского ЗСК;Россия;1979;60.0;1.0;60.0
936;Паровые турбины;ТЭЦ;ТЭЦ Абаканского вагоностроит. завода;Россия;1979;60.0;1.0;60.0
937;Паровые турбины;ТЭЦ;Усть-Илимская ТЭЦ;Россия;1979;50.0;2.0;100.0
938;Гидравлические турбины;ГЭС;Юшкозерская ГЭС;Россия;1979;9.3;2.0;18.6
939;Паровые турбины;ГРЭС;Костромская ГРЭС;Россия;1978;1200.0;1.0;1200.0
940;Паровые турбины;ТЭС;Козенице ТЭС;Польша;1978;500.0;1.0;500.0
942;Паровые турбины;ТЭС;Костанера ТЭС;Аргентина;1978;300.0;1.0;300.0
943;Паровые турбины;ТЭС;Варна ТЭС;Болгария;1978;210.0;2.0;420.0
944;Паровые турбины;ГРЭС;Шатура ГРЭС;Россия;1978;210.0;2.0;420.0
945;Паровые турбины;ТЭС;Дева ТЭС;Румыния;1978;210.0;1.0;210.0
946;Паровые турбины;ГРЭС;Череповецкая ГРЭС;Россия;1978;210.0;1.0;210.0
947;Паровые турбины;ТЭС;Плевле ТЭС;Черногория;1978;210.0;1.0;210.0
949;Гидравлические турбины;ГЭС;Сайт-I ГЭС;Канада;1978;179.0;4.0;716.0
950;Гидравлические турбины;ГЭС;Собрадиньо ГЭС;Бразилия;1978;178.0;6.0;1068.0
955;Гидравлические турбины;ГЭС;Нижнекамская ГЭС;Россия;1978;80.5;16.0;1288.0
956;Паровые турбины;ТЭЦ;Саратов ТЭЦ-3;Россия;1978;80.0;1.0;80.0
957;Паровые турбины;ТЭЦ;Барнаул ТЭЦ-3;Россия;1978;80.0;1.0;80.0
962;Паровые турбины;;Алтайский КХЗ;Россия;1978;60.0;2.0;120.0
963;Паровые турбины;ТЭЦ;Норильск ТЭЦ-3;Россия;1978;60.0;2.0;120.0
964;Паровые турбины;ТЭС;Русе-Восток ТЭС;Россия;1978;60.0;2.0;120.0
965;Паровые турбины;;Башкирский КХЗ;Россия;1978;60.0;1.0;60.0
966;Паровые турбины;ГРЭС;Благовещенск ГРЭС;Россия;1978;60.0;1.0;60.0
967;Паровые турбины;ТЭЦ;Краснокаменская ТЭЦ;Казахстан;1978;60.0;1.0;60.0
968;Паровые турбины;ТЭС;ТЭС металург. завода Карачи;Пакистан;1978;55.0;2.0;110.0
969;Паровые турбины;ТЭЦ;Каргалинская ТЭЦ;Россия;1978;50.0;2.0;100.0
970;Паровые турбины;ТЭЦ;Камская ТЭЦ;Россия;1978;50.0;1.0;50.0
971;Паровые турбины;ТЭЦ;Рубежанская ТЭЦ-2;Украина;1978;50.0;1.0;50.0
972;Паровые турбины;ТЭС;Борзешти ТЭС;Румыния;1978;50.0;1.0;50.0
973;Паровые турбины;ТЭЦ;Ефремовская ТЭЦ;Россия;1978;50.0;1.0;50.0
974;Паровые турбины;ГРЭС;Киришская ГРЭС;Россия;1978;50.0;1.0;50.0
976;Паровые турбины;ГРЭС;Запорожская ГРЭС;Украина;1977;800.0;1.0;800.0
977;Паровые турбины;ГРЭС;Углегорская ГРЭС;Россия;1977;800.0;1.0;800.0
978;Гидравлические турбины;ГЭС;Саяно-Шушенская ГЭС;Россия;1977;735.0;10.0;7350.0
981;Паровые турбины;ТЭС;Боксберг ТЭС;Германия;1977;500.0;1.0;500.0
988;Гидравлические турбины;ГЭС;Мактаквак ГЭС;Канада;1977;110.0;2.0;220.0
989;Паровые турбины;ТЭЦ;Мосэнерго ТЭЦ-21;Россия;1977;80.0;1.0;80.0
990;Паровые турбины;ТЭЦ;Петрозаводская ТЭЦ;Россия;1977;60.0;1.0;60.0
991;Паровые турбины;ТЭЦ;Тамбовская ТЭЦ;Россия;1977;60.0;1.0;60.0
992;Паровые турбины;ТЭЦ;Усть-Илимская ТЭЦ;Россия;1977;60.0;1.0;60.0
993;Паровые турбины;ТЭЦ;Каргалинская ТЭЦ;Россия;1977;60.0;1.0;60.0
994;Паровые турбины;ТЭЦ;Ново-Стерлитамак ТЭЦ;Россия;1977;60.0;1.0;60.0
995;Паровые турбины;ТЭЦ;Шевченко ТЭЦ;Казахстан;1977;60.0;1.0;60.0
996;Паровые турбины;ТЭЦ;Волгодонская ТЭЦ-2;Россия;1977;60.0;1.0;60.0
997;Паровые турбины;ГРЭС;Аркагалинская ГРЭС;Россия;1977;55.0;1.0;55.0
998;Паровые турбины;ТЭС;Бразь-II ТЭС;Румыния;1977;50.0;1.0;50.0
999;Паровые турбины;ТЭЦ;Казанская ТЭЦ-1;Россия;1977;50.0;1.0;50.0
1001;Гидравлические турбины;ГЭС;Руза-II ГЭС;Россия;1977;1.87;2.0;3.74
1002;Гидравлические турбины;ГЭС;Верхняя Руза ГЭС;Россия;1977;1.15;2.0;2.3
1012;Гидравлические турбины;ГЭС;Перепадная ГЭС;Грузия;1976;1.7;2.0;3.4
1013;Гидравлические турбины;ГЭС;Майка ГЭС;Канада;1975;444.0;2.0;888.0
1017;Гидравлические турбины;ГЭС;Зейская ГЭС;Россия;1975;220.0;6.0;1320.0
1026;Гидравлические турбины;ГЭС;Дженпег ГЭС;Канада;1975;29.0;6.0;174.0
1028;Гидравлические турбины;ГЭС;Токтогульская ГЭС;Киргизия;1974;307.0;4.0;1228.0
1036;Гидравлические турбины;ГЭС;Капивара ГЭС;Бразилия;1974;163.0;4.0;652.0
1044;Гидравлические турбины;ГЭС;Локтак ГЭС;Индия;1974;36.1;1.0;36.1
1047;Гидравлические турбины;ГЭС;Усть-Илимская ГЭС;Россия;1973;245.0;16.0;3920.0
1060;Гидравлические турбины;ГЭС;Серебрянская-II ГЭС;Россия;1972;51.5;3.0;154.5
1061;Гидравлические турбины;ГЭС;Череповецкая-II ГЭС;Россия;1972;23.0;2.0;46.0
1065;Гидравлические турбины;ГЭС;Лоуэр Силеру ГЭС;Индия;1971;119.0;2.0;238.0
1070;Гидравлические турбины;ГЭС;Серебрянская-I ГЭС;Россия;1970;68.3;3.0;204.89999999999998
1071;Гидравлические турбины;ГЭС;Балимела ГЭС;Индия;1970;67.0;6.0;402.0
1074;Гидравлические турбины;ГЭС;Перепадная ГЭС;Грузия;1970;20.6;6.0;123.60000000000001
1080;Гидравлические турбины;ГЭС;Джердап ГЭС;Сербия;1969;178.0;6.0;1068.0
1081;Гидравлические турбины;ГЭС;Железные Ворота ГЭС;Румыния;1969;178.0;3.0;534.0
1082;Гидравлические турбины;ГЭС;Чарвакская ГЭС;Узбекистан;1969;155.0;4.0;620.0
1084;Гидравлические турбины;ГЭС;Саратовская ГЭС;Россия;1969;47.3;2.0;94.6
1085;Гидравлические турбины;ГЭС;Хеваскоски ГЭС;Россия;1969;24.0;2.0;48.0
1098;Гидравлические турбины;ГЭС;Татевская ГЭС;Армения;1967;54.6;3.0;163.8
1100;Гидравлические турбины;ГЭС;Саратовская, рыбоподъемник ГЭС;Россия;1967;9.3;1.0;9.3
1106;Гидравлические турбины;ГЭС;Асуанская ГЭС;Египет;1966;180.0;12.0;2160.0
1116;Гидравлические турбины;ГЭС;Саратовская ГЭС;Россия;1965;59.3;12.0;711.5999999999999
1118;Гидравлические турбины;ГЭС;Палакорская ГЭС;Россия;1965;10.2;3.0;30.599999999999998
1120;Гидравлические турбины;ГЭС;Красноярская ГЭС;Россия;1964;508.0;12.0;6096.0
1128;Гидравлические турбины;ГЭС;Бхакра-Нангал ГЭС;Индия;1964;127.0;5.0;635.0
1130;Гидравлические турбины;ГЭС;Бухтарминская ГЭС;Казахстан;1964;90.0;1.0;90.0
1131;Гидравлические турбины;ГЭС;Путкинская ГЭС;Россия;1964;29.0;3.0;87.0
1135;Гидравлические турбины;ГЭС;Юнфын ГЭС;Китай;1963;114.0;1.0;114.0
1138;Гидравлические турбины;ГЭС;Верхне-Туломская ГЭС;Россия;1963;58.7;4.0;234.8
1139;Гидравлические турбины;ГЭС;Меттур-Таннел ГЭС;Индия;1963;56.7;4.0;226.8
1141;Гидравлические турбины;ГЭС;Череповецкая ГЭС;Россия;1963;25.0;2.0;50.0
1155;Гидравлические турбины;ГЭС;Борисоглебская ГЭС;Россия;1962;29.0;2.0;58.0
1156;Гидравлические турбины;ГЭС;Беломорская ГЭС;Россия;1962;9.2;3.0;27.599999999999998
1160;Гидравлические турбины;ГЭС;Волжская ГЭС;Россия;1961;132.0;1.0;132.0
1162;Гидравлические турбины;ГЭС;Воткинская ГЭС;Россия;1961;107.0;10.0;1070.0
1166;Гидравлические турбины;ГЭС;Уч-Курганская ГЭС;Киргизия;1961;52.1;4.0;208.4
1167;Гидравлические турбины;ГЭС;Выгостровская ГЭС;Россия;1961;22.8;2.0;45.6
